satellite,slice,n,orbit_3d_vector_mae_m,orbit_3d_vector_rmse_m,clock_mae_m
GEO,early_half,34,21.819042204713636,28.011396260512313,4.799110245541012
GEO,late_half,35,25.18653683307602,31.833748863370523,10.636443275744337
MEO-1,early_half,3,1.2894330781458212,1.3310568667195963,0.32053764109843436
MEO-1,late_half,3,0.8574373759632378,0.8654462518352979,0.11962984374125922
MEO-2,early_half,9,0.33344089067980714,0.40444337658219215,0.012829089207407112
MEO-2,late_half,9,0.3197514928399705,0.37864260259517624,0.03949293372139198
