dataset,validation_day,average_W
GEO,2025-09-02,0.9495437806640559
GEO,2025-09-03,0.8499904051742303
GEO,2025-09-04,0.9276207844734373
GEO,2025-09-05,0.9557744481623005
GEO,2025-09-06,0.8871173386925848
GEO,2025-09-07,0.8234079443198262
MEO,2025-09-02,0.8983315308396
MEO,2025-09-03,0.8873673888808266
MEO,2025-09-05,0.9230692588306251
MEO,2025-09-06,0.8794642876335124
MEO,2025-09-07,0.8703106118554514
MEO2,2025-09-04,0.9113601657801476
MEO2,2025-09-06,0.8017717880269184
MEO2,2025-09-07,0.8472564023771978
MEO2,2025-09-08,0.8387656657275342
MEO2,2025-09-09,0.852448319777817
