gate_min,lambda,mean_W,median_W,mean_blended,delta_mean_W,delta_median_W
960,0.05,0.9343823647011488,0.9367118254946534,6.166666666666667,0.02962436470114882,0.03890482549465335
600,0.1,0.9342160924564379,0.9363327908992621,9.166666666666666,0.029458092456437934,0.03852579089926211
720,0.1,0.9341698539439708,0.9379969716504626,8.166666666666666,0.029411853943970834,0.040189971650462564
720,0.05,0.9341050247958614,0.9374050203063169,8.166666666666666,0.029347024795861487,0.03959802030631687
600,0.15,0.9340424338915403,0.9370634806447757,9.166666666666666,0.02928443389154034,0.039256480644775715
600,0.05,0.9339857244473274,0.9366171148614505,9.166666666666666,0.029227724447327463,0.03881011486145047
840,0.05,0.9339529724434094,0.9372961285200274,7.166666666666667,0.029194972443409406,0.039489128520027394
960,0.1,0.9338968451132613,0.9370181616496938,6.166666666666667,0.02913884511326137,0.03921116164969374
840,0.1,0.9338337716891688,0.9384561716917605,7.166666666666667,0.02907577168916886,0.04064917169176052
480,0.1,0.9338279191230816,0.9360795301431504,10.166666666666666,0.029069919123081656,0.03827253014315035
480,0.05,0.9337138701064602,0.9363585950528504,10.166666666666666,0.02895587010646028,0.03855159505285033
360,0.1,0.9336395825995982,0.9369640164262059,11.0,0.028881582599598277,0.03915701642620584
360,0.05,0.9336333381740761,0.9367462700705005,11.0,0.02887533817407617,0.038939270070500465
480,0.15,0.9333560979940559,0.9366244943904354,10.166666666666666,0.028598097994055993,0.03881749439043536
720,0.15,0.9332700659029681,0.9386461475161934,8.166666666666666,0.028512065902968176,0.04083914751619333
360,0.15,0.9330640561170362,0.9381618949067287,11.0,0.028306056117036293,0.04035489490672872
600,0.2,0.9329381629964132,0.937655824663366,9.166666666666666,0.02818016299641324,0.039848824663366034
840,0.15,0.9326937823734768,0.940097907933157,7.166666666666667,0.027935782373476825,0.04229090793315693
1200,0.05,0.9323129745813633,0.9341504724717069,2.8333333333333335,0.027554974581363356,0.036343472471706884
960,0.15,0.9320661599054153,0.9370569932469289,6.166666666666667,0.027308159905415352,0.039249993246928905
480,0.2,0.9318081424142334,0.9366981254984372,10.166666666666666,0.027050142414233425,0.03889112549843721
360,0.2,0.9314551222091118,0.939070738500108,11.0,0.0266971222091118,0.041263738500108005
720,0.2,0.9310862273441995,0.9390727252350214,8.166666666666666,0.026328227344199595,0.04126572523502137
840,0.2,0.9305460750397812,0.9391993826648464,7.166666666666667,0.0257880750397812,0.04139238266484635
1200,0.1,0.9304306739974452,0.9330584330054551,2.8333333333333335,0.025672673997445217,0.03525143300545508
1200,0.15,0.9290801316796378,0.930470510486073,2.8333333333333335,0.024322131679637815,0.032663510486072966
600,0.3,0.9284299620833124,0.9305150738842385,9.166666666666666,0.02367196208331246,0.032708073884238464
960,0.2,0.9282882585076163,0.9362044529667137,6.166666666666667,0.023530258507616364,0.03839745296671371
480,0.3,0.9271618477986854,0.9262599297343084,10.166666666666666,0.022403847798685428,0.028452929734308352
360,0.3,0.9267963332396381,0.9250854333069194,11.0,0.022038333239638108,0.02727843330691937
1200,0.2,0.9260950147659218,0.923804799653817,2.8333333333333335,0.02133701476592187,0.02599779965381699
600,0.4,0.9252480672276433,0.9219001271606229,9.166666666666666,0.02049006722764335,0.02409312716062284
1200,0.4,0.9243578378080333,0.9306836876702447,2.8333333333333335,0.019599837808033316,0.03287668767024465
720,0.3,0.9242911170056907,0.9215292989852404,8.166666666666666,0.019533117005690714,0.023722298985240364
1200,0.3,0.9235210421991186,0.9213569241298213,2.8333333333333335,0.018763042199118618,0.023549924129821265
480,0.4,0.9233273804749985,0.9238033753709065,10.166666666666666,0.018569380474998565,0.025996375370906488
840,0.3,0.9229663062584309,0.9191577174173129,7.166666666666667,0.01820830625843095,0.02135071741731287
360,0.4,0.9226137226157721,0.9237722928685412,11.0,0.017855722615772174,0.025965292868541212
720,0.4,0.9190499628413077,0.9089638751317536,8.166666666666666,0.014291962841307737,0.011156875131753563
960,0.3,0.917908482071212,0.9186672765842596,6.166666666666667,0.013150482071212055,0.020860276584259596
840,0.4,0.9163933226456313,0.9162550706722421,7.166666666666667,0.011635322645631385,0.01844807067224208
960,0.4,0.9132641511287772,0.9192290956779768,6.166666666666667,0.008506151128777284,0.021422095677976816
