run_id,satellite_id,model,target,mae,rmse,bias,std,shapiro_w,shapiro_p
official_calib_check,GEO,persistence,x_error_m,8.797194478347825,13.940290833038762,1.7582551073043475,13.828964078604832,0.8695599153451865,3.385701701044254e-06
official_calib_check,GEO,persistence,y_error_m,11.151407495492753,19.620447926585832,0.3405037955797103,19.617493061170226,0.8211586424648608,1.0716109940903646e-07
official_calib_check,GEO,persistence,z_error_m,6.554181634246377,10.495575584459468,1.2714619863623189,10.41827678967771,0.8893530149737882,1.712704812376289e-05
official_calib_check,GEO,persistence,clock_error_m,5.987715298826087,15.800331297593468,-0.7957831170000003,15.780278779045998,0.5556320138652366,3.915425768860854e-13
official_calib_check,GEO,harmonic_ridge,x_error_m,8.627809273324576,13.87521399160185,0.5195106638957974,13.865484916974319,0.8779394964202936,6.6085402943348315e-06
official_calib_check,GEO,harmonic_ridge,y_error_m,11.045572194869168,19.63631827755277,-1.110941310219078,19.6048668677602,0.8258093332422527,1.454767939006457e-07
official_calib_check,GEO,harmonic_ridge,z_error_m,6.90509901626757,10.676644054866824,2.012821435386145,10.485193281173844,0.9052435752990227,7.053021952157934e-05
official_calib_check,GEO,harmonic_ridge,clock_error_m,6.961439624534836,15.975554510649085,-1.6871101065316554,15.886220488560491,0.6006183132230987,2.072243392016572e-12
official_calib_check,GEO,random_forest,x_error_m,8.741225169947956,13.877313222646542,1.5140885623103792,13.794468387905402,0.873073651367326,4.468431353722802e-06
official_calib_check,GEO,random_forest,y_error_m,11.503865386511162,19.99016790595794,0.6208988014994345,19.9805229557859,0.824101092072835,1.29952445563478e-07
official_calib_check,GEO,random_forest,z_error_m,6.931296132123381,10.608167411755693,2.7134383278550844,10.255265392800055,0.8767012648772556,5.977385913681261e-06
official_calib_check,GEO,random_forest,clock_error_m,6.167691437478983,16.031416363312697,-0.636709728469232,16.01876747242317,0.5559984539229234,3.9669821434281234e-13
official_calib_check,GEO,gaussian_process,x_error_m,8.344399602080848,13.830886339281962,-0.22996801733354957,13.828974352465192,0.8695635291935732,3.3866607998582814e-06
official_calib_check,GEO,gaussian_process,y_error_m,10.996538249059183,19.678220876572787,-1.5446240539318121,19.617505279703646,0.8211601942637873,1.0717194345721321e-07
official_calib_check,GEO,gaussian_process,z_error_m,6.53762555886639,10.487319080786737,1.2013433510797675,10.418283719262496,0.8893674904078072,1.714830008183121e-05
official_calib_check,GEO,gaussian_process,clock_error_m,5.998571404549365,15.796668784806515,-0.7190344891337391,15.78029575452617,0.5556369743988602,3.9161189991544817e-13
official_calib_check,GEO,geo_moe,x_error_m,8.534555827008836,13.884976856134756,-0.6820319493377339,13.868215988925193,0.8807116353483845,8.29052955906398e-06
official_calib_check,GEO,geo_moe,y_error_m,11.161246761069556,19.739173328694402,-2.3622288780434046,19.597317123218126,0.8255468908868179,1.4297017609149999e-07
official_calib_check,GEO,geo_moe,z_error_m,6.9220169111480745,10.463405087414193,0.16093804742677298,10.462167316967154,0.906026678307957,7.585007121162682e-05
official_calib_check,GEO,geo_moe,clock_error_m,7.398413711429818,16.068395483048516,-2.445266673035183,15.881246937737519,0.6053437315738576,2.4872373045152137e-12
official_calib_check,GEO,bilstm_gru,x_error_m,8.778075730899085,13.91819162302804,1.181965113015826,13.867913200151687,0.8764566199989168,5.860388234349408e-06
official_calib_check,GEO,bilstm_gru,y_error_m,11.115630141163303,19.620852407661374,-0.512285858919686,19.61416356620853,0.8248003509523495,1.360852911475873e-07
official_calib_check,GEO,bilstm_gru,z_error_m,6.853076431187451,10.667866879885318,2.353814220932707,10.404947975856922,0.8925544448571349,2.2578750142230003e-05
official_calib_check,GEO,bilstm_gru,clock_error_m,6.157325108951953,15.80775267859131,-0.5976348210254963,15.796451416954651,0.5642557204825699,5.337873396222367e-13
official_calib_check,GEO,transformer,x_error_m,8.621610475613608,13.924079359760936,-1.5549489640396206,13.83698376584119,0.8698996788447769,3.4771381895660375e-06
official_calib_check,GEO,transformer,y_error_m,11.236527245021511,19.780664316799427,-2.619932518464285,19.606392692501995,0.8225864833018232,1.1764428018540025e-07
official_calib_check,GEO,transformer,z_error_m,6.801447825477449,10.427993178866444,-0.3599265817646265,10.421779818928451,0.8882454835256568,1.5580665367884453e-05
official_calib_check,GEO,transformer,clock_error_m,6.345953172829576,15.791198155237941,0.01001668231754129,15.791194978343645,0.5578379013558408,4.2367133312772565e-13
official_calib_check,GEO,decoupled_clock,x_error_m,8.627809273324576,13.87521399160185,0.5195106638957974,13.865484916974319,0.8779394964202936,6.6085402943348315e-06
official_calib_check,GEO,decoupled_clock,y_error_m,11.045572194869168,19.63631827755277,-1.110941310219078,19.6048668677602,0.8258093332422527,1.454767939006457e-07
official_calib_check,GEO,decoupled_clock,z_error_m,6.90509901626757,10.676644054866824,2.012821435386145,10.485193281173844,0.9052435752990227,7.053021952157934e-05
official_calib_check,GEO,decoupled_clock,clock_error_m,6.3536523882247895,15.83354585223522,-0.9635966518481794,15.804197409149952,0.5759998938615792,8.198140023455513e-13
official_calib_check,GEO,nhits,x_error_m,10.10076028607193,14.308694408107561,0.2596034858932553,14.3063392136046,0.9599718838113174,0.02656232716777833
official_calib_check,GEO,nhits,y_error_m,18.412986226000907,23.81138750620381,-3.014384030681522,23.61981506883937,0.9829582766742363,0.4687226780553379
official_calib_check,GEO,nhits,z_error_m,8.352236926721691,11.32192039940796,-0.5700845064597728,11.307558763323968,0.9455265535030238,0.004614861471245471
official_calib_check,GEO,nhits,clock_error_m,7.31416661086366,15.987477152886479,-0.9992041407764997,15.956221883613997,0.6419231138455458,1.0786802005348706e-11
official_calib_check,UNKNOWN,persistence,x_error_m,0.23278843755555562,0.32028296716533367,0.22789107366666672,0.22504852276627835,0.8556226419250209,0.010400070682285375
official_calib_check,UNKNOWN,persistence,y_error_m,0.10146418516666666,0.10788434019272256,-0.09293720605555555,0.054787832494143256,0.8659019033567247,0.01524152157017015
official_calib_check,UNKNOWN,persistence,z_error_m,0.13097058683333332,0.2151562717014696,-0.01524387816666666,0.21461557592802166,0.8039545436670799,0.0017282905111246027
official_calib_check,UNKNOWN,persistence,clock_error_m,0.0354320195,0.05232630559827332,-0.011370283944444441,0.05107601100895213,0.7090220316439344,0.00010186264351233876
