run_id,satellite_id,model,primary_score,orbit_3d_vector_mae_m,clock_mae_m,sisre_mean_m,mean_shapiro_w
official_calib_check,GEO,persistence,16.926753515294763,16.926753515294763,5.987715298826087,10.955452054690584,0.7839258966622681
official_calib_check,GEO,harmonic_ridge,16.912939708019064,16.912939708019064,6.961439624534836,11.191851636164113,0.802402679546167
official_calib_check,GEO,random_forest,17.27947245993373,17.27947245993373,6.167691437478983,11.397026620065134,0.782468615560085
official_calib_check,GEO,gaussian_process,16.432361079122305,16.432361079122305,5.998571404549365,10.926092832506148,0.7839320470660069
official_calib_check,GEO,geo_moe,16.994626448833465,16.994626448833465,7.398413711429818,11.633960026640821,0.8044072340292542
official_calib_check,GEO,bilstm_gru,16.982848086734037,16.982848086734037,6.157325108951953,10.960271584431382,0.7895167840727427
official_calib_check,GEO,transformer,16.902247566409518,16.902247566409518,6.345953172829576,11.410099725295737,0.7846423867570245
official_calib_check,GEO,decoupled_clock,16.912939708019064,16.912939708019064,6.3536523882247895,10.926987621944159,0.7962480747057871
official_calib_check,GEO,nhits,24.242066918768987,24.242066918768987,7.31416661086366,16.19371869261801,0.8825949569585309
official_calib_check,UNKNOWN,persistence,0.3193295248052877,0.3193295248052877,0.0354320195,0.12160476075371153,0.8086252801481899
official_calib_check,UNKNOWN,harmonic_ridge,0.27385697686381794,0.27385697686381794,0.03572180161931731,0.1412942537997029,0.8281475246015046
official_calib_check,UNKNOWN,random_forest,0.3265961917598889,0.3265961917598889,0.026161011464399545,0.17328814532675896,0.8670100002910825
official_calib_check,UNKNOWN,gaussian_process,0.23446090760573826,0.23446090760573826,0.028835261179387468,0.12301841644372138,0.790882823691654
official_calib_check,UNKNOWN,geo_moe,0.2646468565307054,0.2646468565307054,0.03140216137373678,0.1284972228587501,0.8272877620136407
official_calib_check,UNKNOWN,bilstm_gru,0.2624014498466411,0.2624014498466411,0.02844236631690407,0.10829365253454021,0.8185461543384386
official_calib_check,UNKNOWN,transformer,0.2895932727292276,0.2895932727292276,0.02856242173898809,0.10578569920740657,0.8064391799064292
official_calib_check,UNKNOWN,decoupled_clock,0.27385697686381794,0.27385697686381794,0.029240195481807032,0.13195059165902698,0.8252199871630845
official_calib_check,UNKNOWN,nhits,0.34922996677022544,0.34922996677022544,0.03227073446070207,0.19139429686013892,0.8554714595722297
