run_id,satellite_id,model,target,mae,rmse,bias,std,shapiro_w,shapiro_p,p_value,hypothesis_result,is_normal
official_day8_calibration,GEO,persistence,x_error_m,8.797194478347825,13.940290833038762,1.7582551073043475,13.828964078604832,0.8695599153451865,3.385701701044254e-06,3.385701701044254e-06,1,False
official_day8_calibration,GEO,persistence,y_error_m,11.151407495492753,19.620447926585832,0.3405037955797103,19.617493061170226,0.8211586424648608,1.0716109940903646e-07,1.0716109940903646e-07,1,False
official_day8_calibration,GEO,persistence,z_error_m,6.554181634246377,10.495575584459468,1.2714619863623189,10.41827678967771,0.8893530149737882,1.712704812376289e-05,1.712704812376289e-05,1,False
official_day8_calibration,GEO,persistence,clock_error_m,5.987715298826087,15.800331297593468,-0.7957831170000003,15.780278779045998,0.5556320138652366,3.915425768860854e-13,3.915425768860854e-13,1,False
official_day8_calibration,GEO,harmonic_ridge,x_error_m,8.627809273324576,13.87521399160185,0.5195106638957974,13.865484916974319,0.8779394964202936,6.6085402943348315e-06,6.6085402943348315e-06,1,False
official_day8_calibration,GEO,harmonic_ridge,y_error_m,11.045572194869168,19.63631827755277,-1.110941310219078,19.6048668677602,0.8258093332422527,1.454767939006457e-07,1.454767939006457e-07,1,False
official_day8_calibration,GEO,harmonic_ridge,z_error_m,6.90509901626757,10.676644054866824,2.012821435386145,10.485193281173844,0.9052435752990227,7.053021952157934e-05,7.053021952157934e-05,1,False
official_day8_calibration,GEO,harmonic_ridge,clock_error_m,6.961439624534836,15.975554510649085,-1.6871101065316554,15.886220488560491,0.6006183132230987,2.072243392016572e-12,2.072243392016572e-12,1,False
official_day8_calibration,GEO,random_forest,x_error_m,8.741225169947956,13.877313222646542,1.5140885623103792,13.794468387905402,0.8730736513673262,4.468431353722861e-06,4.468431353722861e-06,1,False
official_day8_calibration,GEO,random_forest,y_error_m,11.503865386511164,19.99016790595794,0.6208988014994352,19.9805229557859,0.824101092072835,1.29952445563478e-07,1.29952445563478e-07,1,False
official_day8_calibration,GEO,random_forest,z_error_m,6.931296132123381,10.608167411755693,2.7134383278550844,10.255265392800055,0.8767012648772556,5.977385913681261e-06,5.977385913681261e-06,1,False
official_day8_calibration,GEO,random_forest,clock_error_m,6.167691437478983,16.031416363312697,-0.636709728469232,16.01876747242317,0.5559984539229234,3.9669821434281234e-13,3.9669821434281234e-13,1,False
official_day8_calibration,GEO,gaussian_process,x_error_m,8.344399602080848,13.830886339281962,-0.22996801733354957,13.828974352465192,0.8695635291935732,3.3866607998582814e-06,3.3866607998582814e-06,1,False
official_day8_calibration,GEO,gaussian_process,y_error_m,10.996538249059183,19.678220876572787,-1.5446240539318121,19.617505279703646,0.8211601942637873,1.0717194345721321e-07,1.0717194345721321e-07,1,False
official_day8_calibration,GEO,gaussian_process,z_error_m,6.53762555886639,10.487319080786737,1.2013433510797675,10.418283719262496,0.8893674904078072,1.714830008183121e-05,1.714830008183121e-05,1,False
official_day8_calibration,GEO,gaussian_process,clock_error_m,5.998571404549365,15.796668784806515,-0.7190344891337391,15.78029575452617,0.5556369743988602,3.9161189991544817e-13,3.9161189991544817e-13,1,False
official_day8_calibration,GEO,geo_moe,x_error_m,8.561189575243088,13.87973246473911,0.04683053638703833,13.879653460861137,0.8790868250172396,7.256287773206152e-06,7.256287773206152e-06,1,False
official_day8_calibration,GEO,geo_moe,y_error_m,11.092950000187358,19.65243786584728,-1.4120985000572333,19.601640030801608,0.8266645626594633,1.5397111340621496e-07,1.5397111340621496e-07,1,False
official_day8_calibration,GEO,geo_moe,z_error_m,6.837147619425189,10.494363632963205,0.8128564488754244,10.462835774988651,0.9076539070493097,8.830609514940876e-05,8.830609514940876e-05,1,False
official_day8_calibration,GEO,geo_moe,clock_error_m,7.052839830536054,15.988040747138408,-1.8509511123884688,15.880536102780216,0.6019015445482495,2.1772283663792984e-12,2.1772283663792984e-12,1,False
official_day8_calibration,GEO,bilstm_gru,x_error_m,8.53154612621234,13.855379975297154,0.5539032984441296,13.844303716541258,0.872507495349772,4.271837639207086e-06,4.271837639207086e-06,1,False
official_day8_calibration,GEO,bilstm_gru,y_error_m,11.056453873869977,19.617054697043287,-0.6604233622924618,19.605934712972147,0.8236235482231268,1.2593176821181303e-07,1.2593176821181303e-07,1,False
official_day8_calibration,GEO,bilstm_gru,z_error_m,6.726666105548297,10.595811904165718,2.0280783644718166,10.399910002303924,0.8918213619819905,2.1186298954527644e-05,2.1186298954527644e-05,1,False
official_day8_calibration,GEO,bilstm_gru,clock_error_m,6.177933776815779,15.829246592688973,-1.1386909174971593,15.78823709875694,0.5624238805235132,4.996001398594004e-13,4.996001398594004e-13,1,False
official_day8_calibration,GEO,transformer,x_error_m,8.455177482487874,13.842542053636302,0.07754075634016759,13.842324874738193,0.8732917489760571,4.546690002760423e-06,4.546690002760423e-06,1,False
official_day8_calibration,GEO,transformer,y_error_m,11.282401385945514,19.623255381244032,0.3486348753709581,19.620158141085355,0.8255770479714941,1.4325588436343762e-07,1.4325588436343762e-07,1,False
official_day8_calibration,GEO,transformer,z_error_m,6.78599237978776,10.622520684027734,2.1582393539494062,10.400959021823953,0.890884418845566,1.9537270979381952e-05,1.9537270979381952e-05,1,False
official_day8_calibration,GEO,transformer,clock_error_m,6.188286181077097,15.78818775555369,-0.31408107722322753,15.785063372744052,0.5602674319431254,4.622657297716855e-13,4.622657297716855e-13,1,False
official_day8_calibration,GEO,decoupled_clock,x_error_m,8.627809273324576,13.87521399160185,0.5195106638957974,13.865484916974319,0.8779394964202936,6.6085402943348315e-06,6.6085402943348315e-06,1,False
official_day8_calibration,GEO,decoupled_clock,y_error_m,11.045572194869168,19.63631827755277,-1.110941310219078,19.6048668677602,0.8258093332422527,1.454767939006457e-07,1.454767939006457e-07,1,False
official_day8_calibration,GEO,decoupled_clock,z_error_m,6.90509901626757,10.676644054866824,2.012821435386145,10.485193281173844,0.9052435752990227,7.053021952157934e-05,7.053021952157934e-05,1,False
official_day8_calibration,GEO,decoupled_clock,clock_error_m,6.970742420802879,16.30051886001934,-0.861590620431931,16.277732541992147,0.6014151578928291,2.136795910561999e-12,2.136795910561999e-12,1,False
official_day8_calibration,GEO,nhits,x_error_m,11.889097738876812,16.270595123133834,-1.1596260139088153,16.229218501480975,0.9719090581554134,0.12212529235616504,0.12212529235616504,0,True
official_day8_calibration,GEO,nhits,y_error_m,16.574822209521177,22.542101051273082,-2.4615724993969574,22.407297486221307,0.9742385719457755,0.16445099513529193,0.16445099513529193,0,True
official_day8_calibration,GEO,nhits,z_error_m,8.778633310430855,11.966534280320463,0.30409537331184644,11.962669797583445,0.972495250333051,0.13165408583540122,0.13165408583540122,0,True
official_day8_calibration,GEO,nhits,clock_error_m,7.23972050865458,15.98340934668697,-0.7470353900395447,15.965942266893887,0.641194815615063,1.0465912043965134e-11,1.0465912043965134e-11,1,False
official_day8_calibration,MEO-1,persistence,x_error_m,0.29141740483333334,0.30577626316507556,0.29141740483333334,0.09260139996459375,0.8375064297227617,0.1242920571347283,0.1242920571347283,0,True
official_day8_calibration,MEO-1,persistence,y_error_m,0.7157928281666667,0.8200477531773351,-0.7157928281666667,0.4001486531732432,0.9298021674956644,0.5785749696096817,0.5785749696096817,0,True
official_day8_calibration,MEO-1,persistence,z_error_m,0.27195762416666663,0.2876545541854177,-0.13344309049999997,0.2548295197606043,0.8435100340500821,0.13935381216845744,0.13935381216845744,0,True
official_day8_calibration,MEO-1,persistence,clock_error_m,0.2771753405,0.29286134743582826,0.2771753405,0.09456003088323288,0.938749072612755,0.6491363640168737,0.6491363640168737,0,True
official_day8_calibration,MEO-1,harmonic_ridge,x_error_m,0.6170545495374135,0.6356075459656628,0.6170545495374135,0.1524487959403815,0.9396262242587354,0.6561885005020496,0.6561885005020496,0,True
official_day8_calibration,MEO-1,harmonic_ridge,y_error_m,0.3879963458955455,0.4904531906951844,-0.26145553163475316,0.4149522107914061,0.928857641175876,0.5713093210215092,0.5713093210215092,0,True
official_day8_calibration,MEO-1,harmonic_ridge,z_error_m,0.32520888320206315,0.4304820801623444,0.32520888320206315,0.28205319290404424,0.8793137028135424,0.2659202684438685,0.2659202684438685,0,True
official_day8_calibration,MEO-1,harmonic_ridge,clock_error_m,0.16580078097159598,0.2251910097518198,0.14517368796344216,0.17214990907966618,0.9159824951972146,0.47690643900537266,0.47690643900537266,0,True
official_day8_calibration,MEO-1,random_forest,x_error_m,0.2133978568237327,0.23337936937018844,0.2133978568237327,0.09448430954748276,0.8637822525445146,0.20252465056638214,0.20252465056638214,0,True
official_day8_calibration,MEO-1,random_forest,y_error_m,0.4213026370796305,0.5269087467737813,-0.2551688992197989,0.4610007161574403,0.9360102329927337,0.6272458433216682,0.6272458433216682,0,True
official_day8_calibration,MEO-1,random_forest,z_error_m,0.20689865343526037,0.2519901582448179,0.04103032611341592,0.2486273359694688,0.8521995457503598,0.16396715222260477,0.16396715222260477,0,True
official_day8_calibration,MEO-1,random_forest,clock_error_m,0.12516554576414404,0.1653426547484266,0.12034956457902053,0.11337625758904533,0.9111875021334693,0.4442547343202447,0.4442547343202447,0,True
official_day8_calibration,MEO-1,gaussian_process,x_error_m,0.2100874026707197,0.21840675592047973,0.2100874026707197,0.05970589812387782,0.9123666002000858,0.4521479734159864,0.4521479734159864,0,True
official_day8_calibration,MEO-1,gaussian_process,y_error_m,0.20105108034776362,0.2283611801756826,0.17779246557788272,0.14331318081379665,0.8851958130807462,0.29377584125523665,0.29377584125523665,0,True
official_day8_calibration,MEO-1,gaussian_process,z_error_m,0.05862864088634764,0.08003536578933562,-0.014544058217850856,0.07870279631365407,0.835205869264571,0.1189116749825182,0.1189116749825182,0,True
official_day8_calibration,MEO-1,gaussian_process,clock_error_m,0.3708113575155163,0.5317067396021985,0.23997861058877634,0.4744705716883615,0.9254344530484022,0.5453336529123776,0.5453336529123776,0,True
official_day8_calibration,MEO-1,geo_moe,x_error_m,0.6386261676186537,0.660988265288832,0.6386261676186537,0.17047611235082344,0.9233315714869295,0.5296733263612781,0.5296733263612781,0,True
official_day8_calibration,MEO-1,geo_moe,y_error_m,0.5040376331491634,0.6317793794018145,-0.3424715779012051,0.5309033834580458,0.9302833600167053,0.582291911114309,0.582291911114309,0,True
official_day8_calibration,MEO-1,geo_moe,z_error_m,0.27730771465380566,0.31897574813812773,0.05976818343163919,0.3133261753342038,0.8811027139920972,0.2741593790904403,0.2741593790904403,0,True
official_day8_calibration,MEO-1,geo_moe,clock_error_m,0.15399073753457657,0.19131963120486428,0.04165658801806723,0.18672956369856997,0.9010982943966841,0.3804625959188483,0.3804625959188483,0,True
official_day8_calibration,MEO-1,bilstm_gru,x_error_m,0.12613766388278655,0.14078563238925326,0.12613766388278655,0.06252906554103561,0.7734563039050558,0.033468882452975884,0.033468882452975884,1,False
official_day8_calibration,MEO-1,bilstm_gru,y_error_m,0.4760874344087265,0.5348043858608228,-0.07575365331782256,0.5294120466564537,0.9084282494178276,0.4261370648669267,0.4261370648669267,0,True
official_day8_calibration,MEO-1,bilstm_gru,z_error_m,0.32549574868282366,0.3512310737401822,-0.18266656143018953,0.2999936574262065,0.877773654785709,0.25898829778436283,0.25898829778436283,0,True
official_day8_calibration,MEO-1,bilstm_gru,clock_error_m,0.08942576017242099,0.1326743402148564,0.05664513553051911,0.11997420211102296,0.7965479292622994,0.05470534251460124,0.05470534251460124,0,True
official_day8_calibration,MEO-1,transformer,x_error_m,0.49069239895895383,0.4975751374659051,0.49069239895895383,0.0824741597600195,0.8099820827838631,0.07213663684956863,0.07213663684956863,0,True
