run_id,satellite_id,model,primary_score,orbit_3d_vector_mae_m,clock_mae_m,sisre_mean_m,mean_shapiro_w,mean_p_value,rejected_normality_tests
official_day8_calibration,GEO,persistence,16.926753515294763,16.926753515294763,5.987715298826087,10.955452054690584,0.7839258966622681,5.154977828939688e-06,4
official_day8_calibration,GEO,harmonic_ridge,16.912939708019064,16.912939708019064,6.961439624534836,11.191851636164113,0.802402679546167,1.9321059670514552e-05,4
official_day8_calibration,GEO,random_forest,17.279472459933732,17.279472459933732,6.167691437478983,11.397026620065136,0.7824686155600851,2.643942527416454e-06,4
official_day8_calibration,GEO,gaussian_process,16.432361079122305,16.432361079122305,5.998571404549365,10.926092832506148,0.7839320470660069,5.160533304189651e-06,4
official_day8_calibration,GEO,geo_moe,16.8579846435751,16.8579846435751,7.052839830536054,11.323488327945523,0.8038267098185655,2.3929089053312373e-05,4
official_day8_calibration,GEO,bilstm_gru,16.717757699255035,16.717757699255035,6.177933776815779,10.879233506575135,0.7875940715196006,6.396017215386671e-06,4
official_day8_calibration,GEO,transformer,16.90404084011952,16.90404084011952,6.188286181077097,11.206983032481105,0.7875051619340606,6.056804332192886e-06,4
official_day8_calibration,GEO,decoupled_clock,16.912939708019064,16.912939708019064,6.970742420802879,11.568630296642008,0.8026018907135994,1.932105968665268e-05,4
official_day8_calibration,GEO,nhits,24.286537705093778,24.286537705093778,7.23972050865458,16.016199794854987,0.8899594240123258,0.10455759333433103,1
official_day8_calibration,MEO-1,persistence,0.8566226649299479,0.8566226649299479,0.2771753405,0.6046952108812115,0.8873919259703158,0.37283930073243526,0
official_day8_calibration,MEO-1,harmonic_ridge,0.8837691373765542,0.8837691373765542,0.16580078097159598,0.30107437948744176,0.915945015861342,0.4925811322432,0
official_day8_calibration,MEO-1,random_forest,0.5662743941923535,0.5662743941923535,0.12516554576414404,0.267197953087869,0.8907948833552694,0.35949809510772496,0
official_day8_calibration,MEO-1,gaussian_process,0.3098798787681022,0.3098798787681022,0.3708113575155163,0.40146550579479956,0.8895506838984513,0.3525422856415297,0
official_day8_calibration,MEO-1,geo_moe,0.9383232086475283,0.9383232086475283,0.15399073753457657,0.3448792163681509,0.908953984973104,0.4416468031212189,0
official_day8_calibration,MEO-1,bilstm_gru,0.6298194734566821,0.6298194734566821,0.08942576017242099,0.3133262708312425,0.839051534342723,0.19332489690471666,1
official_day8_calibration,MEO-1,transformer,0.7879812917676077,0.7879812917676077,0.13624840534197732,0.3739680710876663,0.8586082437048255,0.22892382100007636,0
official_day8_calibration,MEO-1,decoupled_clock,0.8837691373765542,0.8837691373765542,0.4519849994957601,0.4988732524110031,0.9049369645200895,0.43187708306302924,0
official_day8_calibration,MEO-1,nhits,1.032113959375292,1.032113959375292,0.1629862187790914,0.4724046861607376,0.9542819462960291,0.7619123503660854,0
official_day8_calibration,MEO-2,persistence,0.3193295248052877,0.3193295248052877,0.0354320195,0.12160476075371153,0.8086252801481899,0.0068679363517731165,4
official_day8_calibration,MEO-2,harmonic_ridge,0.27385697686381794,0.27385697686381794,0.03572180161931731,0.1412942537997029,0.8281475246015046,0.04062219118665166,3
official_day8_calibration,MEO-2,random_forest,0.3265961917598889,0.3265961917598889,0.026161011464399545,0.17328814532675896,0.8670100002910828,0.2771914267558542,1
official_day8_calibration,MEO-2,gaussian_process,0.23446090760573826,0.23446090760573826,0.028835261179387468,0.12301841644372138,0.790882823691654,0.027345808923757133,3
official_day8_calibration,MEO-2,geo_moe,0.28123785498733866,0.28123785498733866,0.037829063509078636,0.1586077766545648,0.8272120588369222,0.04311655366779679,3
official_day8_calibration,MEO-2,bilstm_gru,0.27446981425360595,0.27446981425360595,0.028942151606015445,0.10382446944975468,0.81592494403189,0.011383071711711282,4
official_day8_calibration,MEO-2,transformer,0.2817763966288964,0.2817763966288964,0.03529606427835865,0.11088525876362881,0.808356320098734,0.0060651432096276315,4
official_day8_calibration,MEO-2,decoupled_clock,0.27385697686381794,0.27385697686381794,0.028525895539850174,0.13400870328122252,0.8253565862359091,0.040612342918941224,3
official_day8_calibration,MEO-2,nhits,0.3659701331852785,0.3659701331852785,0.032014195479458205,0.19890533856575304,0.8164799396020339,0.00480425364042321,4
