model,geo_mean_w,geo_mae_m,geo_rmse_m,geo_max_ae_m,geo_bias_m,geo_residual_std_m
Persistence,0.7839258966622681,8.12262472672826,15.322379558283238,77.668192332,0.6436094430615943,15.020494587567324
Harmonic Ridge,0.802402679546167,8.384980027249037,15.389246480961473,75.26344038032495,-0.06642982936719764,15.070043157075151
Random Forest,0.782957462136661,8.377432899875913,15.507148994545926,78.82374483335971,1.1651065796957425,15.115700612484236
Gaussian Process,0.7839320470660069,7.969283703638946,15.313755254643091,75.78331806075178,-0.3230708023298332,15.020506271910175
BiLSTM-GRU,0.783743377258716,7.972531438191373,15.319478140075693,75.4593671897563,-0.5236754124555584,15.018103329162706
Transformer,0.7837700114790813,7.977258182836466,15.321560191941272,75.5412870833323,-0.5714958088439838,15.021276808196337
GEO Gated MoE,0.8025326548161561,8.393507301296799,15.390991188791292,75.0752141469496,-0.9108173710971176,15.073312142561333
