utc_time,Persistence_3d_error_m,Harmonic Ridge_3d_error_m,Random Forest_3d_error_m,Gaussian Process_3d_error_m,BiLSTM-GRU_3d_error_m,Transformer_3d_error_m,GEO Gated MoE_3d_error_m
2025-09-08 00:11:00,67.35486693123198,71.36398369168936,67.86559595576534,69.06581632748679,69.24212690866165,69.21485177504745,71.16066483681601
2025-09-08 00:24:00,84.32473550805021,80.66542275630738,85.03768818488084,81.97091109791864,81.57740766664854,81.63176975354084,80.04913187976317
2025-09-08 00:39:00,3.974675057666479,4.85271960786651,1.6330645877194625,5.465800306456285,5.998913522379694,5.96859470526367,6.728961467933015
2025-09-08 00:54:00,47.2922265803589,47.98423427933264,46.377203584608395,49.38281797700911,49.92304623584065,49.86586196770975,49.82340039135678
2025-09-08 01:09:00,8.494398351160218,8.894850760272853,8.350259515880799,6.274734321547398,5.751013811825135,5.794450854028014,7.391934545994995
2025-09-08 01:24:00,4.7489017939506555,9.719126673639458,7.752248238822413,6.2351595517711935,6.583891562086179,6.5144389076887075,10.00258852570352
2025-09-08 01:39:00,3.740400427047159,8.24861863386105,3.910418201403669,6.387764851982382,6.956653449311714,6.844545075715796,9.195937055764366
2025-09-08 01:54:00,25.693965694683957,25.91006237490355,29.54834886925702,23.595907613598257,23.10748615547412,23.213624138466947,24.471107757721146
2025-09-08 02:09:00,2.874114019326681,2.292186957495042,2.478198422022278,3.5109049498396536,3.9504753134058728,3.910759607207228,3.8514271830906517
2025-09-08 02:24:00,5.931609147272438,3.486390244902956,3.913145245474618,3.4235669965444195,3.0067396382897456,3.1050789925903595,2.054893400993109
2025-09-08 02:40:00,29.55877209211307,30.5454482759327,33.49624986323522,31.987958740004235,32.51159286116601,32.44185011280486,32.116417394341376
2025-09-08 02:54:00,2.4144922837837854,1.1376987447064826,2.07378004373116,1.5750144426162227,1.9435193080950084,1.9301038811921496,1.9498428058625015
2025-09-08 03:09:00,9.776903396865467,11.721237656551155,11.380248610086086,10.255971254471666,10.354254890626665,10.251181189109005,11.307121683260775
2025-09-08 03:24:00,2.934748575529873,4.962992231542128,4.161999608656543,5.5957057409666495,6.073113079591358,6.061317910930763,6.3135865796390185
2025-09-08 03:39:00,25.274482940797686,24.22288938412909,13.403218795803125,22.99708809010658,22.56743722980845,22.512306678997522,22.715170165484857
