run_id,satellite_id,model,rank,is_winner,selection_reason,W_avg,W_X,W_Y,W_Z,W_Clock,p_avg,p_X,p_Y,p_Z,p_Clock,H_X,H_Y,H_Z,H_Clock,total_rejected_tests,mean_aggregate,mean_X,mean_Y,mean_Z,mean_Clock,std_aggregate,std_X,std_Y,std_Z,std_Clock,qq_outliers_total,orbit_3d_vector_mae_m,clock_mae_m,sisre_mean_m
official_competition_run,GEO,nhits,1,True,nhits won vs harmonic_ridge: Priority 1: Higher Shapiro-Wilk W_avg (0.889359 vs 0.802403),0.8893593599673784,0.9636930168183776,0.949629464866725,0.965096544946012,0.679018413238399,0.025230145918668713,0.042544000318190694,0.007481416347006087,0.05089516695619349,5.3284571522277546e-11,1,1,0,1,3,1.2513380445461955,0.3529335288098925,-3.590815315368365,0.4016231130600264,-0.6599802209464981,16.77388687641865,16.103748397606573,21.854368954397327,12.79053979078974,16.346890362880977,10,23.52719154169518,7.76007631499362,14.724844188288648
official_competition_run,GEO,harmonic_ridge,2,False,Rank 2,0.802402679546167,0.8779394964202936,0.8258093332422527,0.9052435752990227,0.6006183132230987,1.9321059670514552e-05,6.6085402943348315e-06,1.454767939006457e-07,7.053021952157934e-05,2.072243392016572e-12,1,1,1,1,4,1.332595879008169,0.5195106638957974,-1.110941310219078,2.012821435386145,-1.6871101065316554,15.070043157075151,13.967064919057913,19.748494186184363,10.562008910899468,16.00260461215886,10,16.912939708019064,6.961439624534836,11.191851636164113
official_competition_run,GEO,geo_moe,3,False,Rank 3,0.8019695685514323,0.8758253194892239,0.8235826593195925,0.9044658843995165,0.6040044109973965,1.783265199104293e-05,5.569497692501826e-06,1.2559364228538555e-07,6.563551426792222e-05,2.3614622835124818e-12,1,1,1,1,4,1.059333526065779,0.43742572123247536,-1.5481908148185424,0.316278021581932,-1.9354395466301664,15.058375653308248,13.96916919933892,19.718395330046857,10.564497423563653,15.98144066028357,10,16.919416353358994,7.110947951172736,11.274923333778343
official_competition_run,GEO,decoupled_clock,4,False,Rank 4,0.7928983419455278,0.8779394964202936,0.8258093332422527,0.9052435752990227,0.5626009628205421,1.9321059278154397e-05,6.6085402943348315e-06,1.454767939006457e-07,7.053021952157934e-05,5.028027673407232e-13,1,1,1,1,4,1.1525293898461038,0.5195106638957974,-1.110941310219078,2.012821435386145,-0.9668441498833944,15.043954298459854,13.967064919057913,19.748494186184363,10.562008910899468,15.898249177697673,10,16.912939708019064,6.094666745604617,10.949819941477365
official_competition_run,GEO,bilstm_gru,5,False,Rank 5,0.7876012091630833,0.8746478046364182,0.8241948363168075,0.8918825646335035,0.559679631065604,6.6241566161645635e-06,5.0668621419651326e-06,1.3075746342182976e-07,2.129900640666803e-05,4.526032614754983e-13,1,1,1,1,4,0.9558721478544296,0.4956278111258077,-0.8667154675640025,1.6064293580424824,-0.8547159546854259,15.029762508565097,13.972030156359002,19.754893707425786,10.479797303119334,15.912328867356264,11,16.70564309195533,6.061724283426125,10.924511136367585
official_competition_run,GEO,transformer,6,False,Rank 6,0.7858058947810327,0.8726574812652275,0.8243371458228701,0.8883908638713812,0.5578380881646516,5.057491512924954e-06,4.32301453480471e-06,1.3198957416285516e-07,1.5774961519058084e-05,4.2367416769390193e-13,1,1,1,1,4,0.9790481596644094,-0.81168821092889,-2.0194980297089162,0.7504837923976901,-0.3345226056221413,15.020488301743015,13.950885915892547,19.747232708013637,10.484597759211711,15.899236823854169,12,16.552754985152127,6.157845446718288,11.168206643717678
official_competition_run,GEO,gaussian_process,7,False,Rank 7,0.7839320470660069,0.8695635291935732,0.8211601942637873,0.8893674904078072,0.5556369743988602,5.160533304189651e-06,3.3866607998582814e-06,1.0717194345721321e-07,1.714830008183121e-05,3.9161189991544817e-13,1,1,1,1,4,0.9237424778697171,-0.22996801733354957,-1.5446240539318121,1.2013433510797675,-0.7190344891337391,15.020506271910175,13.930286874309825,19.761225188464117,10.494609162494172,15.895903862372593,12,16.432361079122305,5.998571404549365,10.926092832506148
official_competition_run,GEO,persistence,8,False,Rank 8,0.7839258966622681,0.8695599153451865,0.8211586424648608,0.8893530149737882,0.5556320138652366,5.154977828939688e-06,3.385701701044254e-06,1.0716109940903646e-07,1.712704812376289e-05,3.915425768860854e-13,1,1,1,1,4,1.0415010015615942,1.7582551073043475,0.3405037955797103,1.2714619863623189,-0.7957831170000003,15.020494587567324,13.930276525182082,19.761212880416437,10.494602182142517,15.895886762528265,12,16.926753515294763,5.987715298826087,10.955452054690584
official_competition_run,GEO,random_forest,9,False,Rank 9,0.7824686155600852,0.8730736513673262,0.8241010920728351,0.8767012648772557,0.5559984539229234,2.6439425274164675e-06,4.468431353722861e-06,1.2995244556347837e-07,5.977385913681317e-06,3.9669821434281234e-13,1,1,1,1,4,1.371283855033533,1.5140885623103797,0.620898801499435,2.7134383278550844,-0.636709728469232,15.122237420366574,13.895528115421321,20.126902370255234,10.33039654661157,16.136122649178176,13,17.279472459933732,6.167691437478983,11.397026620065132
official_competition_run,MEO-1,geo_moe,1,True,geo_moe won vs harmonic_ridge: Priority 1: Higher Shapiro-Wilk W_avg (0.917693 vs 0.915945),0.9176934212525634,0.9326908674467118,0.9386691504190496,0.8792222248314542,0.920191442313038,0.505444157477362,0.6010366723199779,0.6484947109641171,0.2655043809493203,0.5067408656760327,0,0,0,0,0,0.3124091610120533,0.7315456638018217,-0.3134410107777138,0.15869978503868326,0.04595018442999432,0.29658513800075725,0.16871173317386046,0.482400891679027,0.3381773805450738,0.19705054660506774,0,0.9653167030214432,0.1442085102853324,0.3564038734491799
