run_id,satellite_id,model,target,n_samples,shapiro_w,p_value,hypothesis_result,alpha,mean,std,mae,rmse,qq_outlier_count
official_competition_run,GEO,persistence,x_error_m,69,0.8695599153451865,3.385701701044254e-06,1,0.05,1.7582551073043475,13.930276525182082,8.797194478347825,13.940290833038762,0
official_competition_run,GEO,persistence,y_error_m,69,0.8211586424648608,1.0716109940903646e-07,1,0.05,0.3405037955797103,19.761212880416437,11.151407495492753,19.620447926585832,1
official_competition_run,GEO,persistence,z_error_m,69,0.8893530149737882,1.712704812376289e-05,1,0.05,1.2714619863623189,10.494602182142517,6.554181634246377,10.495575584459468,2
official_competition_run,GEO,persistence,clock_error_m,69,0.5556320138652366,3.915425768860854e-13,1,0.05,-0.7957831170000003,15.895886762528265,5.987715298826087,15.800331297593468,9
official_competition_run,GEO,harmonic_ridge,x_error_m,69,0.8779394964202936,6.6085402943348315e-06,1,0.05,0.5195106638957974,13.967064919057913,8.627809273324576,13.87521399160185,0
official_competition_run,GEO,harmonic_ridge,y_error_m,69,0.8258093332422527,1.454767939006457e-07,1,0.05,-1.110941310219078,19.748494186184363,11.045572194869168,19.63631827755277,1
official_competition_run,GEO,harmonic_ridge,z_error_m,69,0.9052435752990227,7.053021952157934e-05,1,0.05,2.012821435386145,10.562008910899468,6.90509901626757,10.676644054866824,1
official_competition_run,GEO,harmonic_ridge,clock_error_m,69,0.6006183132230987,2.072243392016572e-12,1,0.05,-1.6871101065316554,16.00260461215886,6.961439624534836,15.975554510649085,8
official_competition_run,GEO,random_forest,x_error_m,69,0.8730736513673262,4.468431353722861e-06,1,0.05,1.5140885623103797,13.895528115421321,8.741225169947956,13.877313222646542,0
official_competition_run,GEO,random_forest,y_error_m,69,0.8241010920728351,1.2995244556347837e-07,1,0.05,0.620898801499435,20.126902370255234,11.503865386511162,19.99016790595794,1
official_competition_run,GEO,random_forest,z_error_m,69,0.8767012648772557,5.977385913681317e-06,1,0.05,2.7134383278550844,10.33039654661157,6.931296132123381,10.608167411755693,3
official_competition_run,GEO,random_forest,clock_error_m,69,0.5559984539229234,3.9669821434281234e-13,1,0.05,-0.636709728469232,16.136122649178176,6.167691437478983,16.031416363312697,9
official_competition_run,GEO,gaussian_process,x_error_m,69,0.8695635291935732,3.3866607998582814e-06,1,0.05,-0.22996801733354957,13.930286874309825,8.344399602080848,13.830886339281962,0
official_competition_run,GEO,gaussian_process,y_error_m,69,0.8211601942637873,1.0717194345721321e-07,1,0.05,-1.5446240539318121,19.761225188464117,10.996538249059183,19.678220876572787,1
official_competition_run,GEO,gaussian_process,z_error_m,69,0.8893674904078072,1.714830008183121e-05,1,0.05,1.2013433510797675,10.494609162494172,6.53762555886639,10.487319080786737,2
official_competition_run,GEO,gaussian_process,clock_error_m,69,0.5556369743988602,3.9161189991544817e-13,1,0.05,-0.7190344891337391,15.895903862372593,5.998571404549365,15.796668784806515,9
official_competition_run,GEO,geo_moe,x_error_m,69,0.8758253194892239,5.569497692501826e-06,1,0.05,0.43742572123247536,13.96916919933892,8.576822452346871,13.87447105099278,0
official_competition_run,GEO,geo_moe,y_error_m,69,0.8235826593195925,1.2559364228538555e-07,1,0.05,-1.5481908148185424,19.718395330046857,10.96948956313675,19.636114878795322,1
official_competition_run,GEO,geo_moe,z_error_m,69,0.9044658843995165,6.563551426792222e-05,1,0.05,0.316278021581932,10.564497423563653,6.949403075878551,10.492431632998661,1
official_competition_run,GEO,geo_moe,clock_error_m,69,0.6040044109973965,2.3614622835124818e-12,1,0.05,-1.9354395466301664,15.98144066028357,7.110947951172736,15.98282919658739,8
official_competition_run,GEO,bilstm_gru,x_error_m,69,0.8746478046364182,5.0668621419651326e-06,1,0.05,0.4956278111258077,13.972030156359002,8.573574932182007,13.879266286473579,0
