dataset,validation_day,variable,sample_index,residual
GEO,2025-09-03,y_error (m),22,-0.09392336800000001
GEO,2025-09-03,y_error (m),23,-1.667859108
GEO,2025-09-03,y_error (m),24,-0.514675968
GEO,2025-09-03,y_error (m),25,-6.017990191
GEO,2025-09-03,y_error (m),26,-0.968691286
GEO,2025-09-03,y_error (m),27,-0.7027541110000001
GEO,2025-09-03,y_error (m),28,-2.276989487
GEO,2025-09-03,y_error (m),29,-3.486932658
GEO,2025-09-03,y_error (m),30,-1.998325587
GEO,2025-09-03,y_error (m),31,0.819003552
GEO,2025-09-03,y_error (m),32,1.1042297699999999
GEO,2025-09-03,z_error (m),0,0.9165023470000002
GEO,2025-09-03,z_error (m),1,-0.543087492
GEO,2025-09-03,z_error (m),2,-2.254776864
GEO,2025-09-03,z_error (m),3,-3.949925501
GEO,2025-09-03,z_error (m),4,-2.017297004
GEO,2025-09-03,z_error (m),5,-2.6175017449999998
GEO,2025-09-03,z_error (m),6,-1.6879755559999998
GEO,2025-09-03,z_error (m),7,-1.7181442749999998
GEO,2025-09-03,z_error (m),8,-2.613054854
GEO,2025-09-03,z_error (m),9,-4.383618975999999
GEO,2025-09-03,z_error (m),10,1.3928707300000003
GEO,2025-09-03,z_error (m),11,-5.618007393
GEO,2025-09-03,z_error (m),12,-1.7112704509999999
GEO,2025-09-03,z_error (m),13,-2.18752633
GEO,2025-09-03,z_error (m),14,-2.93414925
GEO,2025-09-03,z_error (m),15,-2.080947974
GEO,2025-09-03,z_error (m),16,-2.086636349
GEO,2025-09-03,z_error (m),17,8.673675873
GEO,2025-09-03,z_error (m),18,-3.029018046
GEO,2025-09-03,z_error (m),19,-1.570279309
GEO,2025-09-03,z_error (m),20,-1.186141246
GEO,2025-09-03,z_error (m),21,-2.719719744
GEO,2025-09-03,z_error (m),22,-2.611219813
GEO,2025-09-03,z_error (m),23,-1.72569103
GEO,2025-09-03,z_error (m),24,-2.299489075
GEO,2025-09-03,z_error (m),25,-2.707377739
GEO,2025-09-03,z_error (m),26,-2.1555608299999998
GEO,2025-09-03,z_error (m),27,-1.709567221
GEO,2025-09-03,z_error (m),28,-3.2025260529999997
GEO,2025-09-03,z_error (m),29,-3.577697866
GEO,2025-09-03,z_error (m),30,-6.598739368
GEO,2025-09-03,z_error (m),31,-3.939414995
GEO,2025-09-03,z_error (m),32,0.20499907800000017
GEO,2025-09-03,satclockerror (m),0,0.4951045169999999
GEO,2025-09-03,satclockerror (m),1,0.24989829899999982
GEO,2025-09-03,satclockerror (m),2,4.0909684219999995
GEO,2025-09-03,satclockerror (m),3,4.822758544
GEO,2025-09-03,satclockerror (m),4,-4.087579747
GEO,2025-09-03,satclockerror (m),5,0.7192550799999999
GEO,2025-09-03,satclockerror (m),6,1.780429095
GEO,2025-09-03,satclockerror (m),7,1.330537089
GEO,2025-09-03,satclockerror (m),8,1.6239285879999998
GEO,2025-09-03,satclockerror (m),9,1.594486031
GEO,2025-09-03,satclockerror (m),10,1.60974055
GEO,2025-09-03,satclockerror (m),11,1.65610924
GEO,2025-09-03,satclockerror (m),12,1.565027314
GEO,2025-09-03,satclockerror (m),13,1.749342296
GEO,2025-09-03,satclockerror (m),14,1.749342296
GEO,2025-09-03,satclockerror (m),15,1.547566952
GEO,2025-09-03,satclockerror (m),16,1.6751784079999998
GEO,2025-09-03,satclockerror (m),17,0.49292661399999993
GEO,2025-09-03,satclockerror (m),18,1.826770443
GEO,2025-09-03,satclockerror (m),19,1.5786537509999998
GEO,2025-09-03,satclockerror (m),20,1.866055817
GEO,2025-09-03,satclockerror (m),21,1.5628488729999999
GEO,2025-09-03,satclockerror (m),22,1.7024505879999998
GEO,2025-09-03,satclockerror (m),23,1.7024505879999998
GEO,2025-09-03,satclockerror (m),24,1.74825321
GEO,2025-09-03,satclockerror (m),25,2.105450887
GEO,2025-09-03,satclockerror (m),26,1.671363819
GEO,2025-09-03,satclockerror (m),27,1.422696738
GEO,2025-09-03,satclockerror (m),28,1.787532557
GEO,2025-09-03,satclockerror (m),29,4.937315448
GEO,2025-09-03,satclockerror (m),30,5.034399248
GEO,2025-09-03,satclockerror (m),31,1.7810412409999998
GEO,2025-09-03,satclockerror (m),32,0.34698209999999996
GEO,2025-09-04,x_error (m),0,0.811334942
GEO,2025-09-04,x_error (m),1,-2.5560452970000003
GEO,2025-09-04,x_error (m),2,-2.690257046
GEO,2025-09-04,x_error (m),3,-1.5462922970000001
GEO,2025-09-04,x_error (m),4,-1.8257741070000002
GEO,2025-09-04,x_error (m),5,8.192476891999998
GEO,2025-09-04,x_error (m),6,-2.666421257
GEO,2025-09-04,x_error (m),7,-5.8837125
